group,k,fact_type,facts,Strict Coverage@k,Soft Support@k,Condition Integrity@k
chem_prompt_hypergraph,10,condition-heavy,61,0.0,0.0164,0.4393
chem_prompt_hypergraph,10,composition,9,0.0,0.1111,0.9167
chem_prompt_hypergraph,10,comparison,31,0.0,0.0161,0.5446
chem_prompt_hypergraph,10,degradation,50,0.0,0.03,0.613
chem_prompt_hypergraph,10,other,7,0.0,0.0714,0.8929
chem_norm_hypergraph,1,measurement,22,0.0,0.0455,0.6477
chem_norm_hypergraph,1,condition-heavy,61,0.0,0.0082,0.3148
chem_norm_hypergraph,1,composition,9,0.2222,0.3333,0.9167
chem_norm_hypergraph,1,comparison,31,0.0323,0.1452,0.5016
chem_norm_hypergraph,1,degradation,50,0.0,0.06,0.575
chem_norm_hypergraph,1,other,7,0.0,0.1429,0.8571
chem_norm_hypergraph,3,measurement,22,0.0,0.0455,0.6591
chem_norm_hypergraph,3,condition-heavy,61,0.0,0.0328,0.4656
chem_norm_hypergraph,3,composition,9,0.2222,0.3333,0.9444
chem_norm_hypergraph,3,comparison,31,0.0645,0.1935,0.5758
chem_norm_hypergraph,3,degradation,50,0.0,0.11,0.618
chem_norm_hypergraph,3,other,7,0.0,0.2143,0.8571
chem_norm_hypergraph,5,measurement,22,0.0,0.0909,0.6818
chem_norm_hypergraph,5,condition-heavy,61,0.0,0.0328,0.5082
chem_norm_hypergraph,5,composition,9,0.2222,0.3333,0.9444
chem_norm_hypergraph,5,comparison,31,0.0645,0.1935,0.5984
chem_norm_hypergraph,5,degradation,50,0.0,0.12,0.632
chem_norm_hypergraph,5,other,7,0.0,0.2143,0.8571
chem_norm_hypergraph,10,measurement,22,0.0,0.1136,0.7159
chem_norm_hypergraph,10,condition-heavy,61,0.0,0.0328,0.5443
chem_norm_hypergraph,10,composition,9,0.2222,0.3333,0.9444
chem_norm_hypergraph,10,comparison,31,0.0645,0.1935,0.5984
chem_norm_hypergraph,10,degradation,50,0.0,0.14,0.64
chem_norm_hypergraph,10,other,7,0.0,0.2143,0.8571
