candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.5,membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-015,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6667,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
membrane:nafion_117|species:h2so4,UNSUPPORTED,0.3333,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.3333,DOC01-FACT-016,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.75,membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.75,DOC01-FACT-017,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.75,membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.75,DOC01-FACT-018,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
membrane:nafion_117|metric:membrane_thickness_nafion_117,UNSUPPORTED,0.2,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2,DOC01-FACT-019,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_212|metric:membrane_thickness_nafion_212,UNSUPPORTED,0.2,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2,DOC01-FACT-020,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-021,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-022,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
active_species:9_10_anthraquinone_2_7_disulfonic_acid_aqds|metric:crossover_rate_of_aqds,PARTIALLY_SUPPORTED,0.5,membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-023,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.3333,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.3333,DOC01-FACT-024,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-025,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:snpbi_1_42|metric:vanadium_permeability_of_snpbi_1_42,UNSUPPORTED,0.2,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.2,DOC02-FACT-001,benchmark_or_judge,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:sptpc_2_59|metric:vanadium_permeability_of_sptpc_2_59,UNSUPPORTED,0.2,active_species:4_4_dichloro_3_3_disulfonylterphenylene|membrane:sptpc_2_59,UNSUPPORTED,0.2,DOC02-FACT-002,benchmark_or_judge,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:pbi|metric:vanadium_permeability_of_pbi,UNSUPPORTED,0.25,active_species:dimethylacetamide|membrane:pbi,UNSUPPORTED,0.25,DOC02-FACT-003,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.25,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:speek_apk|unresolved:vanadium_permeability_of_speek_apk,UNSUPPORTED,0.2,active_species:n_methyl_2_pyrrolidone_nmp|membrane:speek_apk,UNSUPPORTED,0.2,DOC02-FACT-004,benchmark_or_judge,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.125,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.125,DOC02-FACT-005,rerank_or_topk,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.125,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.1429,active_species:4_4_dichloro_3_3_disulfonylterphenylene|membrane:sptpc_2_59,UNSUPPORTED,0.1429,DOC02-FACT-006,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.1667,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.1667,DOC02-FACT-007,rerank_or_topk,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.1667,active_species:4_4_dichloro_3_3_disulfonylterphenylene|membrane:sptpc_2_59,UNSUPPORTED,0.1667,DOC02-FACT-008,rerank_or_topk,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:temperature_1_42_mmol_g|membrane:snpbi_1_42,UNSUPPORTED,0.2,active_species:85_phosphoric_acid|membrane:pbi,UNSUPPORTED,0.2,DOC02-FACT-009,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:mep_concentration|degradation:ohmic_resistance_increase,UNSUPPORTED,0.3333,active_species:dimethylacetamide|membrane:pbi,UNSUPPORTED,0.0,DOC02-FACT-010,extraction_or_representation,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:snpbi_1_42|metric:vanadium_permeability_of_snpbi_1_42,UNSUPPORTED,0.3333,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.3333,DOC02-FACT-011,benchmark_or_judge,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
